task_id,image_id,filename,category,polarity,hitem_level,gt_ar,h_item_ar,question_text,ground_truth,raw_response,parsed_answer,is_correct,error_type,detail,attempts,latency_s,model_name,provider,reasoning_disabled,prompt_version,temperature,timestamp
image_109A;image_109B__yes,image_109A;image_109B,food_004.png,cuisine,yes,identity,فلافل,كبة,هل هذه الكرات فلافل؟,نعم,نعم,yes,1,,,1,1.97,google/gemini-2.5-flash,openrouter,1,1,0,2026-08-26T21:44:51.320734+00:00
image_109A;image_109B__no,image_109A;image_109B,food_004.png,cuisine,no,identity,فلافل,كبة,هل هذه الكرات كبة؟,لا,لا,no,1,,,1,1.08,google/gemini-2.5-flash,openrouter,1,1,0,2026-08-26T21:44:52.397994+00:00
image_110A;image_110B__yes,image_110A;image_110B,food_005.jpg,cuisine,yes,attribute,بسطيلة,مزيّنة بالسكر البودرة والقرفة,هل هذا الطبق مزيّن بالليمون والأعشاب؟,نعم,نعم,yes,1,,,1,1.2,google/gemini-2.5-flash,openrouter,1,1,0,2026-08-26T21:44:53.594999+00:00
image_110A;image_110B__no,image_110A;image_110B,food_005.jpg,cuisine,no,attribute,بسطيلة,مزيّنة بالسكر البودرة والقرفة,هل هذا الطبق مزيّن بالسكر البودرة والقرفة؟,لا,لا,no,1,,,1,1.01,google/gemini-2.5-flash,openrouter,1,1,0,2026-08-26T21:44:54.601031+00:00
image_111A;image_111B__yes,image_111A;image_111B,food_005.png,cuisine,yes,identity,ورق عنب,محشي,هل هذا الطبق ورق عنب؟,نعم,نعم,yes,1,,,1,1.79,google/gemini-2.5-flash,openrouter,1,1,0,2026-08-26T21:44:56.389509+00:00
image_111A;image_111B__no,image_111A;image_111B,food_005.png,cuisine,no,identity,ورق عنب,محشي,هل هذا الطبق محشي؟,لا,نعم,yes,0,,,1,1.49,google/gemini-2.5-flash,openrouter,1,1,0,2026-08-26T21:44:57.880488+00:00
image_112A;image_112B__yes,image_112A;image_112B,food_006(1).png,cuisine,yes,identity,سمبوسة,كبة,هل هذا الطبق سمبوسة؟,نعم,نعم,yes,1,,,1,0.93,google/gemini-2.5-flash,openrouter,1,1,0,2026-08-26T21:44:58.811589+00:00
image_112A;image_112B__no,image_112A;image_112B,food_006(1).png,cuisine,no,identity,سمبوسة,كبة,هل هذا الطبق كبة؟,لا,لا,no,1,,,1,0.95,google/gemini-2.5-flash,openrouter,1,1,0,2026-08-26T21:44:59.837259+00:00
image_113A;image_113B__yes,image_113A;image_113B,food_006.png,cuisine,yes,identity,بلاليط,كنافة,هل هذا الطبق بلاليط؟,نعم,نعم,yes,1,,,1,1.21,google/gemini-2.5-flash,openrouter,1,1,0,2026-08-26T21:45:01.094642+00:00
image_113A;image_113B__no,image_113A;image_113B,food_006.png,cuisine,no,identity,بلاليط,كنافة,هل هذا الطبق كنافة؟,لا,لا,no,1,,,1,1.25,google/gemini-2.5-flash,openrouter,1,1,0,2026-08-26T21:45:02.349199+00:00
image_114A;image_114B__yes,image_114A;image_114B,food_007.jpg,cuisine,yes,identity,مكدوس,محشي,هل هذا الطعام مكدوس؟,نعم,لا,no,0,,,1,1.32,google/gemini-2.5-flash,openrouter,1,1,0,2026-08-26T21:45:03.665523+00:00
image_114A;image_114B__no,image_114A;image_114B,food_007.jpg,cuisine,no,identity,مكدوس,محشي,هل هذا الطعام محشي؟,لا,لا,no,1,,,1,1.0,google/gemini-2.5-flash,openrouter,1,1,0,2026-08-26T21:45:04.665342+00:00
image_115A;image_115B__yes,image_115A;image_115B,food_007.png,cuisine,yes,identity,خبز الصاج,تميس,هل هذا الخبز خبز الصاج؟,نعم,نعم,yes,1,,,1,1.35,google/gemini-2.5-flash,openrouter,1,1,0,2026-08-26T21:45:06.017108+00:00
image_115A;image_115B__no,image_115A;image_115B,food_007.png,cuisine,no,identity,خبز الصاج,تميس,هل هذا الخبز تميس؟,لا,لا,no,1,,,1,1.19,google/gemini-2.5-flash,openrouter,1,1,0,2026-08-26T21:45:07.210588+00:00
image_116A;image_116B__yes,image_116A;image_116B,food_008.jpg,cuisine,yes,identity,ورق عنب,محشي,هل الطعام في هذه الصورة ورق عنب؟,نعم,نعم,yes,1,,,1,2.85,google/gemini-2.5-flash,openrouter,1,1,0,2026-08-26T21:45:10.065581+00:00
image_116A;image_116B__no,image_116A;image_116B,food_008.jpg,cuisine,no,identity,ورق عنب,محشي,هل الطعام في هذه الصورة محشي؟,لا,نعم,yes,0,,,1,1.93,google/gemini-2.5-flash,openrouter,1,1,0,2026-08-26T21:45:11.993648+00:00
image_117A;image_117B__yes,image_117A;image_117B,food_008.png,cuisine,yes,identity,ورق عنب,كوسا محشي,هل هذا الطبق ورق عنب؟,نعم,نعم,yes,1,,,1,1.35,google/gemini-2.5-flash,openrouter,1,1,0,2026-08-26T21:45:13.347759+00:00
image_117A;image_117B__no,image_117A;image_117B,food_008.png,cuisine,no,identity,ورق عنب,كوسا محشي,هل هذا الطبق كوسا محشي؟,لا,لا,no,1,,,1,1.26,google/gemini-2.5-flash,openrouter,1,1,0,2026-08-26T21:45:14.604709+00:00
image_118A;image_118B__yes,image_118A;image_118B,food_009(1).png,cuisine,yes,identity,مصوب,عصيدة,هل هذا الطبق مصوب؟,نعم,نعم,yes,1,,,1,1.36,google/gemini-2.5-flash,openrouter,1,1,0,2026-08-26T21:45:15.964181+00:00
image_118A;image_118B__no,image_118A;image_118B,food_009(1).png,cuisine,no,identity,مصوب,عصيدة,هل هذا الطبق عصيدة؟,لا,لا,no,1,,,1,1.53,google/gemini-2.5-flash,openrouter,1,1,0,2026-08-26T21:45:17.492546+00:00
image_119A;image_119B__yes,image_119A;image_119B,food_009.png,cuisine,yes,identity,كبة,سمبوسة,هل هذا الطبق كبة؟,نعم,نعم,yes,1,,,1,0.99,google/gemini-2.5-flash,openrouter,1,1,0,2026-08-26T21:45:18.483887+00:00
image_119A;image_119B__no,image_119A;image_119B,food_009.png,cuisine,no,identity,كبة,سمبوسة,هل هذا الطبق سمبوسة؟,لا,لا,no,1,,,1,0.98,google/gemini-2.5-flash,openrouter,1,1,0,2026-08-26T21:45:19.472674+00:00
image_121A;image_121B__yes,image_121A;image_121B,food_010.png,cuisine,yes,identity,كباب,شيش طاووق,هل هذا الطبق كباب؟,نعم,نعم,yes,1,,,1,1.06,google/gemini-2.5-flash,openrouter,1,1,0,2026-08-26T21:45:20.555603+00:00
image_121A;image_121B__no,image_121A;image_121B,food_010.png,cuisine,no,identity,كباب,شيش طاووق,هل هذا الطبق شيش طاووق؟,لا,لا,no,1,,,1,0.92,google/gemini-2.5-flash,openrouter,1,1,0,2026-08-26T21:45:21.472982+00:00
image_122A;image_122B__yes,image_122A;image_122B,food_011.jpg,cuisine,yes,identity,مناقيش,خبز الصاج,هل هذا الخبز مناقيش؟,نعم,نعم,yes,1,,,1,1.41,google/gemini-2.5-flash,openrouter,1,1,0,2026-08-26T21:45:22.967521+00:00
image_122A;image_122B__no,image_122A;image_122B,food_011.jpg,cuisine,no,identity,مناقيش,خبز الصاج,هل هذا الخبز خبز الصاج؟,لا,لا,no,1,,,1,1.19,google/gemini-2.5-flash,openrouter,1,1,0,2026-08-26T21:45:24.161332+00:00
image_123A;image_123B__yes,image_123A;image_123B,food_011.png,cuisine,yes,identity,عصيدة,بازين,هل هذا الطبق عصيدة؟,نعم,نعم,yes,1,,,1,1.58,google/gemini-2.5-flash,openrouter,1,1,0,2026-08-26T21:45:25.739444+00:00
image_123A;image_123B__no,image_123A;image_123B,food_011.png,cuisine,no,identity,عصيدة,بازين,هل هذا الطبق بازين؟,لا,نعم,yes,0,,,1,2.14,google/gemini-2.5-flash,openrouter,1,1,0,2026-08-26T21:45:27.877936+00:00
image_124A;image_124B__yes,image_124A;image_124B,food_012(1).png,cuisine,yes,identity,فلافل,كبة,هل هذا الطبق فلافل؟,نعم,نعم,yes,1,,,1,1.08,google/gemini-2.5-flash,openrouter,1,1,0,2026-08-26T21:45:28.954250+00:00
image_124A;image_124B__no,image_124A;image_124B,food_012(1).png,cuisine,no,identity,فلافل,كبة,هل هذا الطبق كبة؟,لا,لا,no,1,,,1,1.03,google/gemini-2.5-flash,openrouter,1,1,0,2026-08-26T21:45:29.983472+00:00
image_125A;image_125B__yes,image_125A;image_125B,food_012.png,cuisine,yes,attribute,بازين,دقيق الأرز,هل هذه العجينة مصنوعة من دقيق الشعير؟,نعم,لا,no,0,,,1,1.46,google/gemini-2.5-flash,openrouter,1,1,0,2026-08-26T21:45:31.443567+00:00
image_125A;image_125B__no,image_125A;image_125B,food_012.png,cuisine,no,attribute,بازين,دقيق الأرز,هل هذه العجينة مصنوعة من دقيق الأرز؟,لا,لا,no,1,,,1,1.17,google/gemini-2.5-flash,openrouter,1,1,0,2026-08-26T21:45:32.616070+00:00
image_126A;image_126B__yes,image_126A;image_126B,food_013(1).png,cuisine,yes,identity,حمص,فتة حمص,هل هذا الطبق حمص؟,نعم,نعم,yes,1,,,1,1.36,google/gemini-2.5-flash,openrouter,1,1,0,2026-08-26T21:45:33.977656+00:00
image_126A;image_126B__no,image_126A;image_126B,food_013(1).png,cuisine,no,identity,حمص,فتة حمص,هل هذا الطبق فتة حمص؟,لا,نعم,yes,0,,,1,1.41,google/gemini-2.5-flash,openrouter,1,1,0,2026-08-26T21:45:35.387016+00:00
image_127A;image_127B__yes,image_127A;image_127B,food_013.png,cuisine,yes,identity,كوسا محشي,ورق عنب,هل هذا الطبق كوسا محشي؟,نعم,نعم,yes,1,,,1,1.04,google/gemini-2.5-flash,openrouter,1,1,0,2026-08-26T21:45:36.432122+00:00
image_127A;image_127B__no,image_127A;image_127B,food_013.png,cuisine,no,identity,كوسا محشي,ورق عنب,هل هذا الطبق ورق عنب؟,لا,لا,no,1,,,1,0.95,google/gemini-2.5-flash,openrouter,1,1,0,2026-08-26T21:45:37.379010+00:00
image_128A;image_128B__yes,image_128A;image_128B,food_014(1).png,cuisine,yes,identity,أقط,معمول,هل هذا الطعام أقط؟,نعم,نعم,yes,1,,,1,1.6,google/gemini-2.5-flash,openrouter,1,1,0,2026-08-26T21:45:39.032542+00:00
image_128A;image_128B__no,image_128A;image_128B,food_014(1).png,cuisine,no,identity,أقط,معمول,هل هذا الطعام معمول؟,لا,لا,no,1,,,1,1.41,google/gemini-2.5-flash,openrouter,1,1,0,2026-08-26T21:45:40.441588+00:00
image_129A;image_129B__yes,image_129A;image_129B,food_014.png,cuisine,yes,attribute,شاورما,لحم مفروم مُشكَّل,هل هذا اللحم شرائح متبلة مكدّسة طبقات؟,نعم,نعم,yes,1,,,1,1.34,google/gemini-2.5-flash,openrouter,1,1,0,2026-08-26T21:45:41.781865+00:00
image_129A;image_129B__no,image_129A;image_129B,food_014.png,cuisine,no,attribute,شاورما,لحم مفروم مُشكَّل,هل هذا اللحم مفروم مُشكَّل؟,لا,نعم,yes,0,,,1,1.08,google/gemini-2.5-flash,openrouter,1,1,0,2026-08-26T21:45:42.863863+00:00
image_130A;image_130B__yes,image_130A;image_130B,food_015.jpg,cuisine,yes,identity,مناقيش,خبز الصاج,هل هذا الخبز مناقيش؟,نعم,نعم,yes,1,,,1,1.07,google/gemini-2.5-flash,openrouter,1,1,0,2026-08-26T21:45:43.936367+00:00
image_130A;image_130B__no,image_130A;image_130B,food_015.jpg,cuisine,no,identity,مناقيش,خبز الصاج,هل هذا الخبز خبز الصاج؟,لا,لا,no,1,,,1,1.4,google/gemini-2.5-flash,openrouter,1,1,0,2026-08-26T21:45:45.340950+00:00
image_131A;image_131B__yes,image_131A;image_131B,food_015.png,cuisine,yes,identity,فتوش,تبولة,هل الطبق الدائري في هذه الصورة فتوش؟,نعم,نعم,yes,1,,,1,1.31,google/gemini-2.5-flash,openrouter,1,1,0,2026-08-26T21:45:46.652410+00:00
image_131A;image_131B__no,image_131A;image_131B,food_015.png,cuisine,no,identity,فتوش,تبولة,هل الطبق الدائري في هذه الصورة تبولة؟,لا,لا,no,1,,,1,1.65,google/gemini-2.5-flash,openrouter,1,1,0,2026-08-26T21:45:48.300739+00:00
image_132A;image_132B__yes,image_132A;image_132B,food_016(1).png,cuisine,yes,identity,لحم بعجين,مسخن,هل هذا الخبز لحم بعجين؟,نعم,نعم,yes,1,,,1,0.79,google/gemini-2.5-flash,openrouter,1,1,0,2026-08-26T21:45:49.086496+00:00
image_132A;image_132B__no,image_132A;image_132B,food_016(1).png,cuisine,no,identity,لحم بعجين,مسخن,هل هذا الخبز مسخن؟,لا,لا,no,1,,,1,0.95,google/gemini-2.5-flash,openrouter,1,1,0,2026-08-26T21:45:50.362257+00:00
image_133A;image_133B__yes,image_133A;image_133B,food_016.png,cuisine,yes,identity,ورق عنب,محشي,هل لفائف ورق العنب في هذا الطبق ورق عنب؟,نعم,نعم,yes,1,,,1,1.48,google/gemini-2.5-flash,openrouter,1,1,0,2026-08-26T21:45:51.891636+00:00
image_133A;image_133B__no,image_133A;image_133B,food_016.png,cuisine,no,identity,ورق عنب,محشي,هل لفائف ورق العنب في هذا الطبق محشي؟,لا,نعم,yes,0,,,1,1.48,google/gemini-2.5-flash,openrouter,1,1,0,2026-08-26T21:45:53.374267+00:00
image_134A;image_134B__yes,image_134A;image_134B,food_017.jpg,cuisine,yes,identity,بلاليط,كنافة,هل هذا الطبق بلاليط؟,نعم,نعم,yes,1,,,1,1.2,google/gemini-2.5-flash,openrouter,1,1,0,2026-08-26T21:45:54.570603+00:00
image_134A;image_134B__no,image_134A;image_134B,food_017.jpg,cuisine,no,identity,بلاليط,كنافة,هل هذا الطبق كنافة؟,لا,لا,no,1,,,1,1.17,google/gemini-2.5-flash,openrouter,1,1,0,2026-08-26T21:45:55.745521+00:00
image_135A;image_135B__yes,image_135A;image_135B,food_017.png,cuisine,yes,identity,زرب,شية,هل هذا اللحم زرب؟,نعم,لا,no,0,,,1,1.24,google/gemini-2.5-flash,openrouter,1,1,0,2026-08-26T21:45:56.982919+00:00
image_135A;image_135B__no,image_135A;image_135B,food_017.png,cuisine,no,identity,زرب,شية,هل هذا اللحم شية؟,لا,لا,no,1,,,1,1.57,google/gemini-2.5-flash,openrouter,1,1,0,2026-08-26T21:45:58.553293+00:00
image_136A;image_136B__yes,image_136A;image_136B,food_018(1).png,cuisine,yes,identity,كبة,سمبوسة,هل هذا الطبق كبة؟,نعم,نعم,yes,1,,,1,1.12,google/gemini-2.5-flash,openrouter,1,1,0,2026-08-26T21:45:59.669261+00:00
image_136A;image_136B__no,image_136A;image_136B,food_018(1).png,cuisine,no,identity,كبة,سمبوسة,هل هذا الطبق سمبوسة؟,لا,لا,no,1,,,1,0.94,google/gemini-2.5-flash,openrouter,1,1,0,2026-08-26T21:46:00.606381+00:00
image_137A;image_137B__yes,image_137A;image_137B,food_018.png,cuisine,yes,identity,مجبوس,كبسة,هل هذا الطبق مجبوس؟,نعم,نعم,yes,1,,,1,1.37,google/gemini-2.5-flash,openrouter,1,1,0,2026-08-26T21:46:02.046618+00:00
image_137A;image_137B__no,image_137A;image_137B,food_018.png,cuisine,no,identity,مجبوس,كبسة,هل هذا الطبق كبسة؟,لا,لا,no,1,,,1,1.63,google/gemini-2.5-flash,openrouter,1,1,0,2026-08-26T21:46:03.678643+00:00
image_138A;image_138B__yes,image_138A;image_138B,food_019.jpg,cuisine,yes,identity,لحم بعجين,مسخن,هل هذا الخبز لحم بعجين؟,نعم,نعم,yes,1,,,1,1.19,google/gemini-2.5-flash,openrouter,1,1,0,2026-08-26T21:46:04.873821+00:00
image_138A;image_138B__no,image_138A;image_138B,food_019.jpg,cuisine,no,identity,لحم بعجين,مسخن,هل هذا الخبز مسخن؟,لا,نعم,yes,0,,,1,1.02,google/gemini-2.5-flash,openrouter,1,1,0,2026-08-26T21:46:05.897835+00:00
image_139A;image_139B__yes,image_139A;image_139B,food_019.png,cuisine,yes,identity,مجبوس,كبسة,هل هذا الطبق مجبوس؟,نعم,نعم,yes,1,,,1,1.07,google/gemini-2.5-flash,openrouter,1,1,0,2026-08-26T21:46:06.963551+00:00
image_139A;image_139B__no,image_139A;image_139B,food_019.png,cuisine,no,identity,مجبوس,كبسة,هل هذا الطبق كبسة؟,لا,نعم,yes,0,,,1,1.06,google/gemini-2.5-flash,openrouter,1,1,0,2026-08-26T21:46:08.027963+00:00
image_140A;image_140B__yes,image_140A;image_140B,food_020(1).png,cuisine,yes,identity,مجبوس,كبسة,هل هذا الطبق مجبوس؟,نعم,نعم,yes,1,,,1,1.47,google/gemini-2.5-flash,openrouter,1,1,0,2026-08-26T21:46:09.500279+00:00
image_140A;image_140B__no,image_140A;image_140B,food_020(1).png,cuisine,no,identity,مجبوس,كبسة,هل هذا الطبق كبسة؟,لا,نعم,yes,0,,,1,1.53,google/gemini-2.5-flash,openrouter,1,1,0,2026-08-26T21:46:11.026951+00:00
image_141A;image_141B__yes,image_141A;image_141B,food_020.png,cuisine,yes,identity,كبة,سمبوسة,هل هذا الطبق كبة؟,نعم,نعم,yes,1,,,1,0.99,google/gemini-2.5-flash,openrouter,1,1,0,2026-08-26T21:46:12.019441+00:00
image_141A;image_141B__no,image_141A;image_141B,food_020.png,cuisine,no,identity,كبة,سمبوسة,هل هذا الطبق سمبوسة؟,لا,لا,no,1,,,1,0.96,google/gemini-2.5-flash,openrouter,1,1,0,2026-08-26T21:46:12.992443+00:00
image_142A;image_142B__yes,image_142A;image_142B,food_021(1).png,cuisine,yes,attribute,شيش برك,يُطهى في صلصة طماطم,هل يُطهى هذا الطبق في صلصة لبن وثوم؟,نعم,لا,no,0,,,1,0.75,google/gemini-2.5-flash,openrouter,1,1,0,2026-08-26T21:46:13.784154+00:00
image_142A;image_142B__no,image_142A;image_142B,food_021(1).png,cuisine,no,attribute,شيش برك,يُطهى في صلصة طماطم,هل يُطهى هذا الطبق في صلصة طماطم؟,لا,لا,no,1,,,1,1.13,google/gemini-2.5-flash,openrouter,1,1,0,2026-08-26T21:46:15.168930+00:00
image_143A;image_143B__yes,image_143A;image_143B,food_021.png,cuisine,yes,identity,ملوخية,ورق عنب,هل هذه الأوراق ملوخية؟,نعم,لا,no,0,,,1,1.14,google/gemini-2.5-flash,openrouter,1,1,0,2026-08-26T21:46:16.306222+00:00
image_143A;image_143B__no,image_143A;image_143B,food_021.png,cuisine,no,identity,ملوخية,ورق عنب,هل هذه الأوراق ورق عنب؟,لا,لا,no,1,,,1,1.27,google/gemini-2.5-flash,openrouter,1,1,0,2026-08-26T21:46:17.572085+00:00
image_144A;image_144B__yes,image_144A;image_144B,food_022.jpg,cuisine,yes,identity,كسكسي,سلطة برغل,هل هذا الطبق كسكسي؟,نعم,نعم,yes,1,,,1,1.67,google/gemini-2.5-flash,openrouter,1,1,0,2026-08-26T21:46:19.247004+00:00
image_144A;image_144B__no,image_144A;image_144B,food_022.jpg,cuisine,no,identity,كسكسي,سلطة برغل,هل هذا الطبق سلطة برغل؟,لا,لا,no,1,,,1,1.79,google/gemini-2.5-flash,openrouter,1,1,0,2026-08-26T21:46:21.037653+00:00
image_145A;image_145B__yes,image_145A;image_145B,food_022.png,cuisine,yes,identity,حلوى عمانية,كنافة,هل هذا الطبق حلوى عمانية؟,نعم,نعم,yes,1,,,1,1.58,google/gemini-2.5-flash,openrouter,1,1,0,2026-08-26T21:46:22.615033+00:00
image_145A;image_145B__no,image_145A;image_145B,food_022.png,cuisine,no,identity,حلوى عمانية,كنافة,هل هذا الطبق كنافة؟,لا,لا,no,1,,,1,1.33,google/gemini-2.5-flash,openrouter,1,1,0,2026-08-26T21:46:23.949864+00:00
image_146A;image_146B__yes,image_146A;image_146B,food_023.jpg,cuisine,yes,identity,لحوح,إنجيرا,هل هذا الطبق لحوح؟,نعم,نعم,yes,1,,,1,1.25,google/gemini-2.5-flash,openrouter,1,1,0,2026-08-26T21:46:25.195734+00:00
image_146A;image_146B__no,image_146A;image_146B,food_023.jpg,cuisine,no,identity,لحوح,إنجيرا,هل هذا الطبق إنجيرا؟,لا,لا,no,1,,,1,1.4,google/gemini-2.5-flash,openrouter,1,1,0,2026-08-26T21:46:26.595733+00:00
image_148A;image_148B__yes,image_148A;image_148B,food_024.jpg,cuisine,yes,identity,سلطة برغل,كسكسي,هل هذا الطبق سلطة برغل؟,نعم,نعم,yes,1,,,1,1.75,google/gemini-2.5-flash,openrouter,1,1,0,2026-08-26T21:46:28.341924+00:00
image_148A;image_148B__no,image_148A;image_148B,food_024.jpg,cuisine,no,identity,سلطة برغل,كسكسي,هل هذا الطبق كسكسي؟,لا,نعم,yes,0,,,1,1.74,google/gemini-2.5-flash,openrouter,1,1,0,2026-08-26T21:46:30.085576+00:00
image_149A;image_149B__yes,image_149A;image_149B,food_024.png,cuisine,yes,identity,ورق عنب,محشي,هل لفائف ورق العنب في هذا الطبق ورق عنب؟,نعم,نعم,yes,1,,,1,1.76,google/gemini-2.5-flash,openrouter,1,1,0,2026-08-26T21:46:31.850354+00:00
image_149A;image_149B__no,image_149A;image_149B,food_024.png,cuisine,no,identity,ورق عنب,محشي,هل لفائف ورق العنب في هذا الطبق محشي؟,لا,نعم,yes,0,,,1,1.72,google/gemini-2.5-flash,openrouter,1,1,0,2026-08-26T21:46:33.571551+00:00
image_150A;image_150B__yes,image_150A;image_150B,food_025(1).png,cuisine,yes,identity,قطايف,حلاوة الجبن,هل هذا الطبق قطايف؟,نعم,نعم,yes,1,,,1,1.04,google/gemini-2.5-flash,openrouter,1,1,0,2026-08-26T21:46:34.614110+00:00
image_150A;image_150B__no,image_150A;image_150B,food_025(1).png,cuisine,no,identity,قطايف,حلاوة الجبن,هل هذا الطبق حلاوة الجبن؟,لا,لا,no,1,,,1,0.94,google/gemini-2.5-flash,openrouter,1,1,0,2026-08-26T21:46:35.552579+00:00
image_151A;image_151B__yes,image_151A;image_151B,food_025.png,objects,yes,identity,قِدر,برّاد ماء,هل هذا الإناء قِدر؟,نعم,نعم,yes,1,,,1,1.47,google/gemini-2.5-flash,openrouter,1,1,0,2026-08-26T21:46:37.091476+00:00
image_151A;image_151B__no,image_151A;image_151B,food_025.png,objects,no,identity,قِدر,برّاد ماء,هل هذا الإناء برّاد ماء؟,لا,لا,no,1,,,1,1.4,google/gemini-2.5-flash,openrouter,1,1,0,2026-08-26T21:46:38.495180+00:00
image_152A;image_152B__yes,image_152A;image_152B,food_026.jpg,cuisine,yes,identity,حلاوة الجبن,قطايف,هل هذا الطبق حلاوة الجبن؟,نعم,نعم,yes,1,,,1,1.03,google/gemini-2.5-flash,openrouter,1,1,0,2026-08-26T21:46:39.521594+00:00
image_152A;image_152B__no,image_152A;image_152B,food_026.jpg,cuisine,no,identity,حلاوة الجبن,قطايف,هل هذا الطبق قطايف؟,لا,لا,no,1,,,1,1.1,google/gemini-2.5-flash,openrouter,1,1,0,2026-08-26T21:46:40.621684+00:00
image_153A;image_153B__yes,image_153A;image_153B,food_026.png,cuisine,yes,identity,مجبوس,كبسة,هل هذا الطبق مجبوس؟,نعم,نعم,yes,1,,,1,1.24,google/gemini-2.5-flash,openrouter,1,1,0,2026-08-26T21:46:41.857230+00:00
image_153A;image_153B__no,image_153A;image_153B,food_026.png,cuisine,no,identity,مجبوس,كبسة,هل هذا الطبق كبسة؟,لا,نعم,yes,0,,,1,2.21,google/gemini-2.5-flash,openrouter,1,1,0,2026-08-26T21:46:44.071691+00:00
image_154A;image_154B__yes,image_154A;image_154B,food_027(1).png,cuisine,yes,identity,لحوح,إنجيرا,هل هذا الطبق لحوح؟,نعم,نعم,yes,1,,,1,1.53,google/gemini-2.5-flash,openrouter,1,1,0,2026-08-26T21:46:45.599094+00:00
image_154A;image_154B__no,image_154A;image_154B,food_027(1).png,cuisine,no,identity,لحوح,إنجيرا,هل هذا الطبق إنجيرا؟,لا,نعم,yes,0,,,1,1.35,google/gemini-2.5-flash,openrouter,1,1,0,2026-08-26T21:46:46.945664+00:00
image_155A;image_155B__yes,image_155A;image_155B,food_027.png,cuisine,yes,identity,كنافة,حلوى عمانية,هل هذا الطبق كنافة؟,نعم,نعم,yes,1,,,1,0.88,google/gemini-2.5-flash,openrouter,1,1,0,2026-08-26T21:46:47.828096+00:00
image_155A;image_155B__no,image_155A;image_155B,food_027.png,cuisine,no,identity,كنافة,حلوى عمانية,هل هذا الطبق حلوى عمانية؟,لا,لا,no,1,,,1,0.97,google/gemini-2.5-flash,openrouter,1,1,0,2026-08-26T21:46:48.918521+00:00
