task_id,image_id,condition,structure_id,is_control,question_text,options_shown,correct_letter,raw_response,parsed_letter,is_correct,error_type,detail,attempts,latency_s,model_name,provider,reasoning_disabled,prompt_version,temperature,timestamp
architecture_kingdom_tower_mam_13__mcdr__control,architecture_kingdom_tower_mam_13,mcdr,mcdr-1,1,اذكر اسم المبنى الظاهر في الصورة.,A=برج الفيصلية | B=مركز الملك عبدالله المالي (كافد) | C=برج المملكة | D=لا توجد إجابة صحيحة,C,C,C,1,,,1,1.42,openai/gpt-4o-mini,openrouter,1,1,0,2026-08-28T13:28:14.475762+00:00
architecture_king_abdullah_financial_district_kafd_k1__mcdr__control,architecture_king_abdullah_financial_district_kafd_k1,mcdr,mcdr-1,1,اذكر اسم المبنى الظاهر في الصورة.,A=مركز دبي المالي العالمي (DIFC) | B=برج المملكة | C=مركز الملك عبدالله المالي (كافد) | D=لا توجد إجابة صحيحة,C,B,B,0,,,1,3.86,openai/gpt-4o-mini,openrouter,1,1,0,2026-08-28T13:28:14.694136+00:00
architecture_king_abdullah_financial_district_kafd_k1__mcdr__core,architecture_king_abdullah_financial_district_kafd_k1,mcdr,mcdr-1,0,اذكر اسم المبنى الظاهر في الصورة.,A=مركز دبي المالي العالمي (DIFC) | B=برج المملكة | C=وسط مدينة دبي (داون تاون) | D=لا توجد إجابة صحيحة,D,D,D,1,,,1,4.22,openai/gpt-4o-mini,openrouter,1,1,0,2026-08-28T13:28:15.050840+00:00
architecture_nassif_house_museum_naseif_1__mcdr__control,architecture_nassif_house_museum_naseif_1,mcdr,mcdr-1,1,ما الاسم الصحيح للمبنى الظاهر في الصورة؟,A=بيت الشربتلي التاريخي | B=بيت باناجة بجدة | C=بيت نصيف | D=لا توجد إجابة صحيحة,C,C,C,1,,,1,1.02,openai/gpt-4o-mini,openrouter,1,1,0,2026-08-28T13:28:15.120153+00:00
architecture_king_abdullah_financial_district_kafd_k1__udr__core,architecture_king_abdullah_financial_district_kafd_k1,udr,udr-1,0,اذكر اسم المبنى الظاهر في الصورة.,A=مركز دبي المالي العالمي (DIFC) | B=برج المملكة | C=وسط مدينة دبي (داون تاون),,B,B,0,,,1,4.32,openai/gpt-4o-mini,openrouter,1,1,0,2026-08-28T13:28:15.153665+00:00
architecture_king_abdullah_financial_district_kafd_k1__oedr__core,architecture_king_abdullah_financial_district_kafd_k1,oedr,oedr-1,0,اذكر اسم المبنى الظاهر في الصورة.,,,لا يوجد خيار صحيح.,,1,,,1,4.39,openai/gpt-4o-mini,openrouter,1,1,0,2026-08-28T13:28:15.224081+00:00
architecture_quba_mosque_quba_13__mcdr__core,architecture_quba_mosque_quba_13,mcdr,mcdr-1,0,اذكر اسم المبنى الظاهر في الصورة.,A=مسجد القبلتين | B=المسجد النبوي الشريف | C=مسجد الجمعة بالمدينة | D=لا توجد إجابة صحيحة,D,B,B,0,,,1,1.33,openai/gpt-4o-mini,openrouter,1,1,0,2026-08-28T13:28:15.450934+00:00
architecture_ithra_screenshot_2023_10_31_111338__oedr__core,architecture_ithra_screenshot_2023_10_31_111338,oedr,oedr-1,0,عرّف المبنى الظاهر في الصورة.,,,لا يوجد خيار صحيح.,,1,,,1,5.06,openai/gpt-4o-mini,openrouter,1,1,0,2026-08-28T13:28:15.880793+00:00
architecture_diriyah_d12__udr__core,architecture_diriyah_d12,udr,udr-1,0,عرّف المبنى الظاهر في الصورة.,A=قصر المربع التاريخي | B=قصر المصمك | C=قصر إبراهيم بالهفوف,,B,B,0,,,1,5.08,openai/gpt-4o-mini,openrouter,1,1,0,2026-08-28T13:28:15.885736+00:00
architecture_ibrahim_palace_screenshot_2023_11_16_093330__mcdr__control,architecture_ibrahim_palace_screenshot_2023_11_16_093330,mcdr,mcdr-1,1,عرّف المبنى الظاهر في الصورة.,A=قلعة زعبل بسكاكا (الجوف) | B=قصر المصمك | C=قصر إبراهيم بالهفوف | D=لا توجد إجابة صحيحة,C,B,B,0,,,1,5.08,openai/gpt-4o-mini,openrouter,1,1,0,2026-08-28T13:28:15.907877+00:00
architecture_ithra_screenshot_2023_10_31_111338__mcdr__core,architecture_ithra_screenshot_2023_10_31_111338,mcdr,mcdr-1,0,عرّف المبنى الظاهر في الصورة.,A=متحف اللوفر أبوظبي | B=متحف المستقبل بدبي | C=دار الأوبرا السلطانية بمسقط | D=لا توجد إجابة صحيحة,D,B,B,0,,,1,5.12,openai/gpt-4o-mini,openrouter,1,1,0,2026-08-28T13:28:15.944439+00:00
architecture_ibrahim_palace_screenshot_2023_11_16_093330__udr__core,architecture_ibrahim_palace_screenshot_2023_11_16_093330,udr,udr-1,0,عرّف المبنى الظاهر في الصورة.,A=قلعة زعبل بسكاكا (الجوف) | B=قصر المصمك | C=قصر الحكم بالرياض,,B,B,0,,,1,5.23,openai/gpt-4o-mini,openrouter,1,1,0,2026-08-28T13:28:16.054735+00:00
architecture_al_masmak_palace_masmak_13__mcdr__core,architecture_al_masmak_palace_masmak_13,mcdr,mcdr-1,0,عرّف المبنى الظاهر في الصورة.,A=قصر المربع التاريخي | B=قلعة زعبل بسكاكا (الجوف) | C=قصر إبراهيم بالهفوف | D=لا توجد إجابة صحيحة,D,A,A,0,,,1,5.31,openai/gpt-4o-mini,openrouter,1,1,0,2026-08-28T13:28:16.119918+00:00
architecture_ithra_screenshot_2023_10_31_111338__mcdr__control,architecture_ithra_screenshot_2023_10_31_111338,mcdr,mcdr-1,1,عرّف المبنى الظاهر في الصورة.,A=متحف اللوفر أبوظبي | B=متحف المستقبل بدبي | C=مركز الملك عبدالعزيز الثقافي العالمي (إثراء) | D=لا توجد إجابة صحيحة,C,B,B,0,,,1,5.43,openai/gpt-4o-mini,openrouter,1,1,0,2026-08-28T13:28:16.253311+00:00
attire_82693_ensemble__udr__core,attire_82693_ensemble,udr,udr-1,0,اذكر اسم القطعة الظاهرة في الصورة.,A=ثوب سوري احتفالي | B=ثوب بيت لحمي مطرز | C=عباءة نسائية سوداء,,B,B,0,,,1,1.19,openai/gpt-4o-mini,openrouter,1,1,0,2026-08-28T13:28:16.412314+00:00
attire_82693_ensemble__oedr__core,attire_82693_ensemble,oedr,oedr-1,0,اذكر اسم القطعة الظاهرة في الصورة.,,,"القطعة الظاهرة في الصورة هي ""ثوب تقليدي"" أو ""زي تقليدي"".",,1,,,1,1.26,openai/gpt-4o-mini,openrouter,1,1,0,2026-08-28T13:28:16.415817+00:00
attire_82693_ensemble__mcdr__core,attire_82693_ensemble,mcdr,mcdr-1,0,اذكر اسم القطعة الظاهرة في الصورة.,A=ثوب سوري احتفالي | B=ثوب بيت لحمي مطرز | C=عباءة نسائية سوداء | D=لا توجد إجابة صحيحة,D,B,B,0,,,1,1.32,openai/gpt-4o-mini,openrouter,1,1,0,2026-08-28T13:28:16.439670+00:00
architecture_hegra_hegra_12__mcdr__control,architecture_hegra_hegra_12,mcdr,mcdr-1,1,ما اسم المبنى الظاهر في الصورة؟,A=البتراء | B=قصر البنت بالعلا | C=قصر الفريد (هجر/مدائن صالح)، العلا | D=لا توجد إجابة صحيحة,C,C,C,1,,,1,5.65,openai/gpt-4o-mini,openrouter,1,1,0,2026-08-28T13:28:16.464624+00:00
architecture_quba_mosque_quba_13__udr__core,architecture_quba_mosque_quba_13,udr,udr-1,0,اذكر اسم المبنى الظاهر في الصورة.,A=مسجد القبلتين | B=المسجد النبوي الشريف | C=مسجد الجمعة بالمدينة,,B,B,0,,,1,2.47,openai/gpt-4o-mini,openrouter,1,1,0,2026-08-28T13:28:16.642298+00:00
architecture_the_clock_towers_watch_13__mcdr__core,architecture_the_clock_towers_watch_13,mcdr,mcdr-1,0,ما هو المبنى الظاهر في الصورة؟,A=برج خليفة بدبي | B=بيغ بن بلندن | C=المسجد الحرام | D=لا توجد إجابة صحيحة,D,D,D,1,,,1,2.25,openai/gpt-4o-mini,openrouter,1,1,0,2026-08-28T13:28:16.692192+00:00
architecture_nassif_house_museum_naseif_1__mcdr__core,architecture_nassif_house_museum_naseif_1,mcdr,mcdr-1,0,ما الاسم الصحيح للمبنى الظاهر في الصورة؟,A=بيت الشربتلي التاريخي | B=بيت باناجة بجدة | C=دار الحكم العثماني بجدة | D=لا توجد إجابة صحيحة,D,B,B,0,,,1,3.22,openai/gpt-4o-mini,openrouter,1,1,0,2026-08-28T13:28:16.735021+00:00
attire_85620_burnus_selham__mcdr__core,attire_85620_burnus_selham,mcdr,mcdr-1,0,عرّف القطعة الظاهرة في الصورة.,A=جلابة مغربية مخططة بغطاء رأس | B=كيب أو بونشو حديث بغطاء رأس مدمج | C=عباءة بدوية مخططة حمراء | D=لا توجد إجابة صحيحة,D,A,A,0,,,1,0.87,openai/gpt-4o-mini,openrouter,1,1,0,2026-08-28T13:28:16.753947+00:00
attire_85620_burnus_selham__udr__core,attire_85620_burnus_selham,udr,udr-1,0,عرّف القطعة الظاهرة في الصورة.,A=جلابة مغربية مخططة بغطاء رأس | B=كيب أو بونشو حديث بغطاء رأس مدمج | C=عباءة بدوية مخططة حمراء,,A,A,0,,,1,0.85,openai/gpt-4o-mini,openrouter,1,1,0,2026-08-28T13:28:16.755392+00:00
architecture_ibrahim_palace_screenshot_2023_11_16_093330__oedr__core,architecture_ibrahim_palace_screenshot_2023_11_16_093330,oedr,oedr-1,0,عرّف المبنى الظاهر في الصورة.,,,المبنى الظاهر في الصورة هو قلعة أو حصن تقليدي، يتميز بجدرانه السميكة وأبراج المراقبة. يبدو أنه تم ترميمه أو إعادة تأهيله، ويعكس الطراز المعماري التقليدي في المنطقة.,,1,,,1,5.95,openai/gpt-4o-mini,openrouter,1,1,0,2026-08-28T13:28:16.764461+00:00
architecture_quba_mosque_quba_13__oedr__core,architecture_quba_mosque_quba_13,oedr,oedr-1,0,اذكر اسم المبنى الظاهر في الصورة.,,,لا يوجد خيار صحيح.,,1,,,1,2.62,openai/gpt-4o-mini,openrouter,1,1,0,2026-08-28T13:28:16.789218+00:00
architecture_kingdom_tower_mam_13__mcdr__core,architecture_kingdom_tower_mam_13,mcdr,mcdr-1,0,اذكر اسم المبنى الظاهر في الصورة.,A=برج الفيصلية | B=مركز الملك عبدالله المالي (كافد) | C=برج خليفة بدبي | D=لا توجد إجابة صحيحة,D,A,A,0,,,1,5.97,openai/gpt-4o-mini,openrouter,1,1,0,2026-08-28T13:28:16.805032+00:00
attire_85620_burnus_selham__mcdr__control,attire_85620_burnus_selham,mcdr,mcdr-1,1,عرّف القطعة الظاهرة في الصورة.,A=جلابة مغربية مخططة بغطاء رأس | B=كيب أو بونشو حديث بغطاء رأس مدمج | C=برنوس/سلهام | D=لا توجد إجابة صحيحة,C,A,A,0,,,1,0.93,openai/gpt-4o-mini,openrouter,1,1,0,2026-08-28T13:28:16.871739+00:00
architecture_hegra_hegra_12__udr__core,architecture_hegra_hegra_12,udr,udr-1,0,ما اسم المبنى الظاهر في الصورة؟,A=البتراء | B=قصر البنت بالعلا | C=آثار جرش بالأردن,,B,B,0,,,1,6.06,openai/gpt-4o-mini,openrouter,1,1,0,2026-08-28T13:28:16.875014+00:00
architecture_quba_mosque_quba_13__mcdr__control,architecture_quba_mosque_quba_13,mcdr,mcdr-1,1,اذكر اسم المبنى الظاهر في الصورة.,A=مسجد القبلتين | B=المسجد النبوي الشريف | C=مسجد قباء | D=لا توجد إجابة صحيحة,C,B,B,0,,,1,2.68,openai/gpt-4o-mini,openrouter,1,1,0,2026-08-28T13:28:16.877754+00:00
architecture_diriyah_d12__oedr__core,architecture_diriyah_d12,oedr,oedr-1,0,عرّف المبنى الظاهر في الصورة.,,,المبنى الظاهر في الصورة هو جزء من قرية تاريخية أو موقع أثري، يتميز بالعمارة التقليدية المصنوعة من الطين، ويبدو أنه يعكس التراث الثقافي والمعماري للمنطقة.,,1,,,1,6.15,openai/gpt-4o-mini,openrouter,1,1,0,2026-08-28T13:28:16.962067+00:00
attire_85658_dress__mcdr__core,attire_85658_dress,mcdr,mcdr-1,0,ما هي القطعة الظاهرة في الصورة؟,A=إنتاري عثماني مطرز | B=مشلح خليجي مطرز بالزري | C=ثوب حوراني أسود مطرز | D=لا توجد إجابة صحيحة,D,C,C,0,,,1,0.93,openai/gpt-4o-mini,openrouter,1,1,0,2026-08-28T13:28:16.981272+00:00
architecture_diriyah_d12__mcdr__control,architecture_diriyah_d12,mcdr,mcdr-1,1,عرّف المبنى الظاهر في الصورة.,A=قصر المربع التاريخي | B=قصر المصمك | C=حي الطريف بالدرعية | D=لا توجد إجابة صحيحة,C,C,C,1,,,1,6.32,openai/gpt-4o-mini,openrouter,1,1,0,2026-08-28T13:28:17.125335+00:00
architecture_nassif_house_museum_naseif_1__udr__core,architecture_nassif_house_museum_naseif_1,udr,udr-1,0,ما الاسم الصحيح للمبنى الظاهر في الصورة؟,A=بيت الشربتلي التاريخي | B=بيت باناجة بجدة | C=دار الحكم العثماني بجدة,,B,B,0,,,1,3.21,openai/gpt-4o-mini,openrouter,1,1,0,2026-08-28T13:28:17.291159+00:00
architecture_nassif_house_museum_naseif_1__oedr__core,architecture_nassif_house_museum_naseif_1,oedr,oedr-1,0,ما الاسم الصحيح للمبنى الظاهر في الصورة؟,,,لا يوجد خيار صحيح.,,1,,,1,3.58,openai/gpt-4o-mini,openrouter,1,1,0,2026-08-28T13:28:17.405680+00:00
attire_86125_palestinian_dolls_thob_al_malek_royal_dress__mcdr__core,attire_86125_palestinian_dolls_thob_al_malek_royal_dress,mcdr,mcdr-1,0,ما الاسم الصحيح للقطعة الظاهرة في الصورة؟,A=ثوب فلسطيني تقليدي عادي | B=ثوب بيت لحمي بالقطن الملكي | C=ثوب أردني بدوي مطرز | D=لا توجد إجابة صحيحة,D,B,B,0,,,1,1.21,openai/gpt-4o-mini,openrouter,1,1,0,2026-08-28T13:28:17.624946+00:00
attire_86273_abaya_cloak__mcdr__core,attire_86273_abaya_cloak,mcdr,mcdr-1,0,كيف تُعرف القطعة الظاهرة في الصورة؟,A=جاكيت كيمونو متعدد الألوان بأكتاف هندسية | B=بشت رجالي أحمر مخطط | C=دراعة خليجية حمراء | D=لا توجد إجابة صحيحة,D,C,C,0,,,1,0.94,openai/gpt-4o-mini,openrouter,1,1,0,2026-08-28T13:28:17.630768+00:00
attire_86273_abaya_cloak__oedr__core,attire_86273_abaya_cloak,oedr,oedr-1,0,كيف تُعرف القطعة الظاهرة في الصورة؟,,,"القطعة الظاهرة في الصورة تُعرف باسم ""كيمونو"".",,1,,,1,1.05,openai/gpt-4o-mini,openrouter,1,1,0,2026-08-28T13:28:17.788061+00:00
attire_82693_ensemble__mcdr__control,attire_82693_ensemble,mcdr,mcdr-1,1,اذكر اسم القطعة الظاهرة في الصورة.,A=ثوب سوري احتفالي | B=ثوب بيت لحمي مطرز | C=ثوب فلسطيني بغطاء رأس مطرز | D=لا توجد إجابة صحيحة,C,C,C,1,,,1,2.36,openai/gpt-4o-mini,openrouter,1,1,0,2026-08-28T13:28:17.810545+00:00
cuisine_cuisine_of_egypt_03__mcdr__core,cuisine_cuisine_of_egypt_03,mcdr,mcdr-1,0,ما اسم الطبق الظاهر في الصورة؟,A=ملوخية مطحونة نيئة | B=متبل فلفل أخضر | C=غموس أفوكادو | D=لا توجد إجابة صحيحة,D,C,C,0,,,1,1.24,openai/gpt-4o-mini,openrouter,1,1,0,2026-08-28T13:28:18.000427+00:00
cuisine_cuisine_of_egypt_03__udr__core,cuisine_cuisine_of_egypt_03,udr,udr-1,0,ما اسم الطبق الظاهر في الصورة؟,A=ملوخية مطحونة نيئة | B=متبل فلفل أخضر | C=غموس أفوكادو,,C,C,0,,,1,1.27,openai/gpt-4o-mini,openrouter,1,1,0,2026-08-28T13:28:18.071805+00:00
cuisine_cuisine_of_egypt_05__mcdr__control,cuisine_cuisine_of_egypt_05,mcdr,mcdr-1,1,ما هو الطبق الظاهر في الصورة؟,A=لقمة القاضي بجوز الهند | B=زلابية مغطاة بالسكر | C=حلوى مقلية مغطاة بجوز الهند | D=لا توجد إجابة صحيحة,C,C,C,1,,,1,1.31,openai/gpt-4o-mini,openrouter,1,1,0,2026-08-28T13:28:18.293490+00:00
cuisine_cuisine_of_egypt_05__mcdr__core,cuisine_cuisine_of_egypt_05,mcdr,mcdr-1,0,ما هو الطبق الظاهر في الصورة؟,A=لقمة القاضي بجوز الهند | B=زلابية مغطاة بالسكر | C=دونات صغيرة بجوز الهند | D=لا توجد إجابة صحيحة,D,A,A,0,,,1,1.42,openai/gpt-4o-mini,openrouter,1,1,0,2026-08-28T13:28:18.298886+00:00
cuisine_cuisine_of_egypt_05__oedr__core,cuisine_cuisine_of_egypt_05,oedr,oedr-1,0,ما هو الطبق الظاهر في الصورة؟,,,"الطبق الظاهر في الصورة هو ""المعسّل"" أو ""الحلويات الشرقية"" مثل ""البقلاوة"" أو ""الكنافة"".",,1,,,1,1.44,openai/gpt-4o-mini,openrouter,1,1,0,2026-08-28T13:28:18.319153+00:00
cuisine_cuisine_of_egypt_05__udr__core,cuisine_cuisine_of_egypt_05,udr,udr-1,0,ما هو الطبق الظاهر في الصورة؟,A=لقمة القاضي بجوز الهند | B=زلابية مغطاة بالسكر | C=دونات صغيرة بجوز الهند,,A,A,0,,,1,1.8,openai/gpt-4o-mini,openrouter,1,1,0,2026-08-28T13:28:18.767478+00:00
attire_86273_abaya_cloak__udr__core,attire_86273_abaya_cloak,udr,udr-1,0,كيف تُعرف القطعة الظاهرة في الصورة؟,A=جاكيت كيمونو متعدد الألوان بأكتاف هندسية | B=بشت رجالي أحمر مخطط | C=دراعة خليجية حمراء,,C,C,0,,,1,2.13,openai/gpt-4o-mini,openrouter,1,1,0,2026-08-28T13:28:18.880741+00:00
cuisine_cuisine_of_jordan_06__udr__core,cuisine_cuisine_of_jordan_06,udr,udr-1,0,كيف يُعرف الطبق الظاهر في الصورة؟,A=إفطار فلسطيني تقليدي | B=إفطار سوري بالفول والفلافل | C=إفطار لبناني بالمناقيش,,B,B,0,,,1,1.22,openai/gpt-4o-mini,openrouter,1,1,0,2026-08-28T13:28:19.030872+00:00
architecture_the_clock_towers_watch_13__udr__core,architecture_the_clock_towers_watch_13,udr,udr-1,0,ما هو المبنى الظاهر في الصورة؟,A=برج خليفة بدبي | B=بيغ بن بلندن | C=المسجد الحرام,,C,C,0,,,1,4.36,openai/gpt-4o-mini,openrouter,1,1,0,2026-08-28T13:28:19.058049+00:00
attire_85658_dress__mcdr__control,attire_85658_dress,mcdr,mcdr-1,1,ما هي القطعة الظاهرة في الصورة؟,A=إنتاري عثماني مطرز | B=مشلح خليجي مطرز بالزري | C=فستان مصري أسود بتطريز ذهبي وأحمر | D=لا توجد إجابة صحيحة,C,B,B,0,,,1,2.78,openai/gpt-4o-mini,openrouter,1,1,0,2026-08-28T13:28:19.197590+00:00
architecture_al_masmak_palace_masmak_13__mcdr__control,architecture_al_masmak_palace_masmak_13,mcdr,mcdr-1,1,عرّف المبنى الظاهر في الصورة.,A=قصر المربع التاريخي | B=قلعة زعبل بسكاكا (الجوف) | C=قصر المصمك | D=لا توجد إجابة صحيحة,C,C,C,1,,,1,8.44,openai/gpt-4o-mini,openrouter,1,1,0,2026-08-28T13:28:19.245599+00:00
attire_85658_dress__udr__core,attire_85658_dress,udr,udr-1,0,ما هي القطعة الظاهرة في الصورة؟,A=إنتاري عثماني مطرز | B=مشلح خليجي مطرز بالزري | C=ثوب حوراني أسود مطرز,,C,C,0,,,1,3.02,openai/gpt-4o-mini,openrouter,1,1,0,2026-08-28T13:28:19.273309+00:00
cuisine_cuisine_of_saudi_arabia_13__mcdr__core,cuisine_cuisine_of_saudi_arabia_13,mcdr,mcdr-1,0,ما هو الطبق الظاهر في الصورة؟,A=مجبوس دجاج | B=مندي دجاج | C=برياني دجاج | D=لا توجد إجابة صحيحة,D,B,B,0,,,1,1.23,openai/gpt-4o-mini,openrouter,1,1,0,2026-08-28T13:28:19.304960+00:00
architecture_the_clock_towers_watch_13__oedr__core,architecture_the_clock_towers_watch_13,oedr,oedr-1,0,ما هو المبنى الظاهر في الصورة؟,,,المبنى الظاهر في الصورة هو برج الساعة في مكة المكرمة.,,1,,,1,4.91,openai/gpt-4o-mini,openrouter,1,1,0,2026-08-28T13:28:19.386970+00:00
attire_85620_burnus_selham__oedr__core,attire_85620_burnus_selham,oedr,oedr-1,0,عرّف القطعة الظاهرة في الصورة.,,,القطعة الظاهرة في الصورة هي فستان أو عباءة ذات تصميم مخطط بألوان حمراء وبيضاء.,,1,,,1,3.5,openai/gpt-4o-mini,openrouter,1,1,0,2026-08-28T13:28:19.387495+00:00
cuisine_cuisine_of_jordan_06__oedr__core,cuisine_cuisine_of_jordan_06,oedr,oedr-1,0,كيف يُعرف الطبق الظاهر في الصورة؟,,,الطبق الظاهر في الصورة يُعرف بالفلافل، ويُقدم مع الحمص والسلطة والخبز.,,1,,,1,1.6,openai/gpt-4o-mini,openrouter,1,1,0,2026-08-28T13:28:19.393061+00:00
attire_86273_abaya_cloak__mcdr__control,attire_86273_abaya_cloak,mcdr,mcdr-1,1,كيف تُعرف القطعة الظاهرة في الصورة؟,A=جاكيت كيمونو متعدد الألوان بأكتاف هندسية | B=بشت رجالي أحمر مخطط | C=عباءة سورية حمراء بخطوط | D=لا توجد إجابة صحيحة,C,C,C,1,,,1,2.66,openai/gpt-4o-mini,openrouter,1,1,0,2026-08-28T13:28:19.419285+00:00
cuisine_cuisine_of_jordan_06__mcdr__control,cuisine_cuisine_of_jordan_06,mcdr,mcdr-1,1,كيف يُعرف الطبق الظاهر في الصورة؟,A=إفطار فلسطيني تقليدي | B=إفطار سوري بالفول والفلافل | C=إفطار أردني (فلافل وفتوش وحمص ومخللات وخبز) | D=لا توجد إجابة صحيحة,C,C,C,1,,,1,1.47,openai/gpt-4o-mini,openrouter,1,1,0,2026-08-28T13:28:19.473176+00:00
attire_85658_dress__oedr__core,attire_85658_dress,oedr,oedr-1,0,ما هي القطعة الظاهرة في الصورة؟,,,القطعة الظاهرة في الصورة هي عباءة تقليدية.,,1,,,1,3.37,openai/gpt-4o-mini,openrouter,1,1,0,2026-08-28T13:28:19.486209+00:00
architecture_al_masmak_palace_masmak_13__udr__core,architecture_al_masmak_palace_masmak_13,udr,udr-1,0,عرّف المبنى الظاهر في الصورة.,A=قصر المربع التاريخي | B=قلعة زعبل بسكاكا (الجوف) | C=قصر إبراهيم بالهفوف,,A,A,0,,,1,8.73,openai/gpt-4o-mini,openrouter,1,1,0,2026-08-28T13:28:19.544231+00:00
architecture_the_clock_towers_watch_13__mcdr__control,architecture_the_clock_towers_watch_13,mcdr,mcdr-1,1,ما هو المبنى الظاهر في الصورة؟,A=برج خليفة بدبي | B=بيغ بن بلندن | C=أبراج البيت (برج الساعة) بمكة | D=لا توجد إجابة صحيحة,C,C,C,1,,,1,4.56,openai/gpt-4o-mini,openrouter,1,1,0,2026-08-28T13:28:19.612924+00:00
attire_86125_palestinian_dolls_thob_al_malek_royal_dress__udr__core,attire_86125_palestinian_dolls_thob_al_malek_royal_dress,udr,udr-1,0,ما الاسم الصحيح للقطعة الظاهرة في الصورة؟,A=ثوب فلسطيني تقليدي عادي | B=ثوب بيت لحمي بالقطن الملكي | C=ثوب أردني بدوي مطرز,,B,B,0,,,1,3.23,openai/gpt-4o-mini,openrouter,1,1,0,2026-08-28T13:28:19.693844+00:00
