image_id,filename,category,gt_ar,h_item_ar,h_item_note,hitem_status,hitem_level
image_112A;image_112B,food_006(1).png,cuisine,سمبوسة,كبة,أقراص هلالية الشكل (نصف قمر) مطوية بوضوح مقابل شكل الكبة البيضاوي/المغزلي (تورپيدو) — شكل الهلال المسطح ينفي شكل الكبة المدبب من الطرفين,ai_suggested,identity
image_113A;image_113B,food_006.png,cuisine,بلاليط,كنافة,شعيرية رفيعة صفراء اللون قد تشبه لونًا وقوامًا خيوط الكنافة الشعرية، لكن الكنافة حلوى بحشوة جبن ولا تُقدَّم أبدًا مع طبقة بيض مقلي مطوية بجانبها كما هنا — وجود البيض المقلي ينفي الكنافة,ai_suggested,identity
image_114A;image_114B,food_007.jpg,cuisine,مكدوس,محشي,المحشي طبق مطهو (خضار محشوة بالأرز في مرق طماطم دافئ)، بينما الصورة تُظهر باذنجانات نيئة محفوظة في زيت زيتون داخل برطمان بحشوة فلفل أحمر مفروم — لا أرز ولا مرق طماطم ولا تسخين، والتقديم بارد/مخلّل ينفي المحشي,ai_suggested,identity
image_115A;image_115B,food_007.png,cuisine,خبز الصاج,تميس,الصورة تُظهر عجينة ممدودة على قبّة صاج معدنية محدّبة فوق موقد غاز — التميس يُخرَج من تنور طيني حفري لا عن قبّة معدنية محدّبة، فمعدات الطهي الظاهرة تنفي التميس,ai_suggested,identity
image_116A;image_116B,food_008.jpg,cuisine,ورق عنب,محشي,الصورة تُظهر ورقة عنب خامًا واحدة بجانب لفائف رفيعة ملفوفة — وجود الورقة نفسها كمادة اللف يؤكد أنها لفائف ورق عنب لا خضار مجوّفة محشوة، فينفي المحشي العام,ai_suggested,identity
image_117A;image_117B,food_008.png,cuisine,ورق عنب,كوسا محشي,الطبق يحوي لفائف ورق عنب وحبات طماطم محشوة مستديرة في الوسط — لا توجد أي قطع كوسا خضراء مستطيلة الشكل، فغياب الكوسا تحديدًا (رغم وجود محشي طماطم فعليًا) ينفي كوسا محشي تحديدًا بلا مخاطرة صحة عامة (لهذا تفادينا مصطلح محشي العام هنا),ai_suggested,identity
image_118A;image_118B,food_009(1).png,cuisine,مصوب,عصيدة,عصيدة اليمنية عجينة قمح صلبة على شكل قبّة مع حفرة سمن/عسل في الوسط، بينما الصورة تُظهر خليطًا مهروسًا رخوًا (موز وخبز) بلا شكل قبّة ثابت وبجبنة مبروشة متناثرة فوقه — غياب شكل القبّة الصلب ينفي العصيدة,ai_suggested,identity
image_119A;image_119B,food_009.png,cuisine,كبة,سمبوسة,أقراص بيضاوية مدببة الطرفين (شكل التورپيدو) واضحة، بينما السمبوسة مثلثة أو هلالية الشكل — الشكل المدبب المغزلي ينفي السمبوسة بصريًا,ai_suggested,identity
image_120A;image_120B,food_010(1).png,cuisine,أقاشي,كباب,الصورة تُظهر قطعة لحم كاملة (عضلة ودهن ظاهران) تُغمس يدويًا في خليط بهارات مطحون، لا لحمًا مفرومًا مُشكَّلًا — الكباب يُصنع من لحم مفروم مُشكَّل على شكل أصابع، وقطعة اللحم الكاملة هنا تنفيه,ai_suggested,identity
image_121A;image_121B,food_010.png,cuisine,كباب,شيش طاووق,أصابع لحم مفروم مصمتة داكنة اللون (قوام كفتة متجانس) على الأسياخ، بلا أي تقطيع لقطع دجاج منفصلة مكعبة — الشيش طاووق يتكون من مكعبات دجاج منفصلة مشوية على السيخ، وتجانس اللحم المفروم هنا ينفيه,ai_suggested,identity
image_122A;image_122B,food_011.jpg,cuisine,مناقيش,خبز الصاج,خبز الصاج طبق سادة بلا إضافات، بينما الصورة تُظهر سطحًا مغطى بالكامل بخليط زعتر وزيت أخضر داكن مع سمسم ظاهر — التغطية العشبية الكاملة تنفي خبز الصاج السادة,ai_suggested,identity
image_123A;image_123B,food_011.png,cuisine,عصيدة,بازين,كلاهما عجين قمح على شكل قبّة، لكن البازين (كما في هذا المشروع) يُغطّى سطحه بالكامل بمرق/صلصة سميكة، بينما هذه الصورة تُظهر سائلًا كهرمانيًا محصورًا في حفرة مركزية فقط مع سطح خارجي نظيف غير مغطى — انحصار السائل في الحفرة ينفي طريقة تقديم البازين المعروفة,ai_suggested,identity
image_124A;image_124B,food_012(1).png,cuisine,فلافل,كبة,كرات مستديرة الشكل بقشرة داكنة مقرمشة مع صلصة طحينة، بينما الكبة بيضاوية مغزلية الشكل (تورپيدو) — الاستدارة الكاملة تنفي شكل الكبة المدبب,ai_suggested,identity
image_125A;image_125B,food_012.png,cuisine,بازين,دقيق الأرز,البازين تقليديًا من دقيق الشعير أو القمح لا الأرز؛ الادعاء بأنه من دقيق الأرز خطأ في مكوّن الطبق رغم أن عجينة العجين البنية في القدر أثناء الخلط لا تكشف نوع الدقيق بمجرد النظر — فخ معرفي بالمكوّن لا بالمظهر,ai_suggested,attribute
image_126A;image_126B,food_013(1).png,cuisine,حمص,فتة حمص,فتة الحمص يجب أن تحتوي قطع خبز محمّص/مقلي ضمن الطبق، والصورة تُظهر حمصًا سادة بحبات حمص كاملة وزيت وبابريكا فقط بلا أي قطع خبز ظاهرة — غياب الخبز ينفي فتة الحمص,ai_suggested,identity
image_127A;image_127B,food_013.png,cuisine,كوسا محشي,ورق عنب,الصورة تُظهر قرون كوسا مجوّفة كاملة بقشرتها الفاتحة الظاهرة ومحشوة بخليط أحمر، لا لفائف ورق عنب رفيعة الملفوفة — وجود قشرة الكوسا الصلبة ينفي ورق العنب,ai_suggested,identity
image_128A;image_128B,food_014(1).png,cuisine,أقط,معمول,كرات بيضاء بقوام خشن متشقق جافّ بلا أي نقشة قالب مزخرفة أو شكل قبّة مميز، بينما المعمول يحمل دائمًا أثر ضغط القالب الخشبي الزخرفي على سطحه — غياب نقشة القالب ينفي المعمول,ai_suggested,identity
image_129A;image_129B,food_014.png,cuisine,شاورما,لحم مفروم مُشكَّل,الشاورما تُبنى تقليديًا من شرائح لحم متبلة مكدّسة طبقات فوق بعضها على السيخ العمودي، لا من لحم مفروم مطحون مُشكَّل ككتلة واحدة — الادعاء بأنها لحم مفروم خطأ في طريقة التحضير لا يمكن نفيه من مجرد منظر السطح المشوي الخارجي,ai_suggested,attribute
image_130A;image_130B,food_015.jpg,cuisine,مناقيش,خبز الصاج,خبز الصاج طبق سادة بلا إضافات، بينما الصورة تُظهر قرصًا مغطى بالكامل بجبنة بيضاء ذائبة (وأصناف زعتر ولحمة أخرى خلفه) — التغطية الكاملة بالجبنة تنفي خبز الصاج السادة,ai_suggested,identity
image_131A;image_131B,food_015.png,cuisine,فتوش,تبولة,الصورة تُظهر قطع خضار كبيرة الحجم وقطع خبز محمّص مقرمشة واضحة بين المكوّنات — التبولة تُفرم ناعمًا جدًا وخالية تمامًا من قطع الخبز، فوجود الخبز والتقطيع الخشن ينفيها,ai_suggested,identity
image_132A;image_132B,food_016(1).png,cuisine,لحم بعجين,مسخن,الصورة تُظهر طبقة لحم مفروم متجانسة القوام مفروشة حتى الحافة بلا أي قطع بصل داكنة كبيرة أو قطع دجاج ظاهرة — المسخن يتميز بقطع بصل مكرمل داكنة وقطع دجاج واضحة فوق الخبز، وغيابها ينفيه,ai_suggested,identity
image_133A;image_133B,food_016.png,cuisine,ورق عنب,محشي,الصحن يضم لفائف ورق عنب رفيعة ولحمًا مشويًا ومعجنًا محشوًا، لكن لا توجد أي قطعة خضار كاملة محشوة (كوسا/باذنجان/فلفل) — غياب الخضار المحشوة كليًا ينفي محشي العام رغم تنوع محتويات الصحن,ai_suggested,identity
image_134A;image_134B,food_017.jpg,cuisine,بلاليط,كنافة,شعيرية ذهبية اللون قد تشبه قوام خيوط الكنافة، لكن الكنافة لا تُقدَّم أبدًا مع بيض مقلي محلّى مطوي بجانبها كما في الصورة — وجود البيض المقلي ينفي الكنافة,ai_suggested,identity
image_135A;image_135B,food_017.png,cuisine,زرب,شية,الزرب يُطهى في حفرة رملية بمعدات رف متعدد الطبقات مع خضار وفواكه خام كاملة كما تُظهر الصورة بوضوح، بينما الشية تُشوى في صينية ضحلة فوق الفحم مباشرة — بنية الرف متعددة الطبقات والمكونات النيئة الخام تنفي إعداد الشية,ai_suggested,identity
image_136A;image_136B,food_018(1).png,cuisine,كبة,سمبوسة,أقراص بيضاوية مدببة الطرفين (تورپيدو) واضحة، بينما السمبوسة مثلثة أو هلالية الشكل — الشكل المغزلي المدبب ينفي السمبوسة,ai_suggested,identity
image_137A;image_137B,food_018.png,cuisine,مجبوس,كبسة,طبق أرز ولحم/دجاج مع مكسرات وزبيب — تشابه بصري كبير بين المجبوس والكبسة (الزوج الكلاسيكي في هذا المشروع)، والاسم يُحدَّد بالتقليد الإقليمي المثبَّت لا بملامح بصرية حاسمة في هذه الصورة تحديدًا,ai_suggested,identity
image_138A;image_138B,food_019.jpg,cuisine,لحم بعجين,مسخن,طبقة لحم مفروم متجانسة القوام مفروشة حتى الحافة على أقراص بيضاوية صغيرة في فرن حجري، بلا أي قطع بصل داكنة مكرملة أو قطع دجاج ظاهرة يميّزها المسخن — غيابها ينفيه,ai_suggested,identity
image_139A;image_139B,food_019.png,cuisine,مجبوس,كبسة,طبق أرز محمّر بدجاج ولوز مع أكواب صلصة جانبية — نفس زوج المجبوس/الكبسة الكلاسيكي؛ التمييز يعتمد على التقليد الإقليمي المثبَّت لا على ملمح بصري قاطع هنا,ai_suggested,identity
image_140A;image_140B,food_020(1).png,cuisine,مجبوس,كبسة,أرز بني داكن محمّر مع قطعة دجاج مشوية بلون غامق في وسط الطبق — نفس زوج المجبوس/الكبسة الكلاسيكي؛ التمييز باسم التقليد الإقليمي المثبَّت لا بملمح بصري قاطع في هذه الصورة,ai_suggested,identity
image_141A;image_141B,food_020.png,cuisine,كبة,سمبوسة,أقراص بيضاوية مدببة الطرفين (تورپيدو)، إحداها مفتوحة تُظهر الحشوة الداخلية — الشكل المغزلي المدبب يختلف عن شكل السمبوسة المثلث أو الهلالي فينفيها,ai_suggested,identity
image_142A;image_142B,food_021(1).png,cuisine,شيش برك,يُطهى في صلصة طماطم,شيش برك يُطهى تقليديًا في صلصة لبن-ثوم لا صلصة طماطم؛ الصورة تُظهر العجين قبل الطهي (قرصات محشوة نيئة مطوية) بلا أي صلصة بعد — لا يمكن نفي نوع الصلصة بصريًا من صورة ما قبل الطهي، فخ معرفي بطريقة التحضير النهائية,ai_suggested,attribute
image_143A;image_143B,food_021.png,cuisine,ملوخية,ورق عنب,ورقة نبات مفردة بشكل بيضاوي رفيع مسنن الحواف بلا فصوص عميقة، بينما ورقة العنب نجمية الشكل بفصوص عميقة واضحة (كما ظهر في عينة سابقة من هذا المشروع) — اختلاف شكل الورقة نفسه ينفي ورق العنب,ai_suggested,identity
image_144A;image_144B,food_022.jpg,cuisine,كسكسي,سلطة برغل,حبيبات الكسكسي الدقيقة المستديرة الموحّدة الحجم ظاهرة بوضوح على جوانب القالب المرصوص، بينما حبات البرغل أكبر حجمًا وأكثر خشونة وزاويّة الشكل — نعومة واستدارة الحبيبات هنا تنفي سلطة البرغل,ai_suggested,identity
image_145A;image_145B,food_022.png,cuisine,حلوى عمانية,كنافة,عجينة داكنة لامعة متجانسة القوام مغطاة بمكسرات فستق فقط، بلا أي خيوط عجين شعرية برتقالية أو طبقة جبن ظاهرة تميّز الكنافة — غياب ملمح الكنافة المميز ينفيها,ai_suggested,identity
image_146A;image_146B,food_023.jpg,cuisine,لحوح,إنجيرا,سطح الخبز محمّر ومتفحّم قليلًا بلون بني ذهبي واضح من جهة التلامس مع الصاج، بينما الإنجيرا لا تُحمَّر أبدًا وتبقى شاحبة اللون غير مصقولة السطح لأنها تُطهى مغطاة دون تقليب — التحمير الظاهر ينفي الإنجيرا,ai_suggested,identity
image_148A;image_148B,food_024.jpg,cuisine,سلطة برغل,كسكسي,حبيبات البرغل الخشنة الزاوية الكبيرة واضحة في الأوعية، بينما حبيبات الكسكسي دقيقة مستديرة وأصغر بكثير — خشونة الحبة وحجمها هنا ينفيان الكسكسي,ai_suggested,identity
image_149A;image_149B,food_024.png,cuisine,ورق عنب,محشي,لفائف ورق عنب رفيعة موحّدة الحجم فقط على الطبق مع ملاعق زجاجية زخرفية — لا توجد أي قطعة خضار كاملة محشوة (كوسا/باذنجان/فلفل) فينفي محشي العام,ai_suggested,identity
image_150A;image_150B,food_025(1).png,cuisine,قطايف,حلاوة الجبن,أقراص عجين مطوية على شكل هلال بحافة مكرمشة ظاهرة بوضوح ومحشوة بفستق، بينما حلاوة الجبن تُلف أسطوانيًا ناعمًا بلا أي حافة مكرمشة — الحافة المطوية المميزة تنفي حلاوة الجبن,ai_suggested,identity
image_151A;image_151B,food_025.png,objects,قِدر,برّاد ماء,قِدر نحاسي/برونزي أثري مثبَّت على حامل بلا أي صنبور أو فوهة سفلية للصب، بينما برّاد الماء يتميّز دائمًا بصنبور ظاهر لتعبئة الكاسات — غياب الصنبور ينفيه رغم تشابه الشكل العام كوعاء على حامل,ai_suggested,identity
image_152A;image_152B,food_026.jpg,cuisine,حلاوة الجبن,قطايف,لفائف أسطوانية ناعمة السطح بلا أي حافة مكرمشة أو طيّة، بينما القطايف تُطوى دائمًا على شكل هلال بحافة مضغوطة مموّجة ظاهرة — غياب الطية المكرمشة ينفي القطايف,ai_suggested,identity
image_153A;image_153B,food_026.png,cuisine,مجبوس,كبسة,طبق أرز محمّر مع دجاج ومكسرات وفواكه مجففة على قماش أحمر — نفس زوج المجبوس/الكبسة الكلاسيكي؛ التمييز بالتقليد الإقليمي المثبَّت لا بملمح بصري قاطع هنا,ai_suggested,identity
image_154A;image_154B,food_027(1).png,cuisine,لحوح,إنجيرا,طبقتا خبز بسطح محمّر بني ذهبي واضح من التلامس مع الصاج، بينما الإنجيرا تبقى شاحبة اللون غير محمّرة لأنها تُطهى مغطاة دون تقليب — التحمير الظاهر ينفي الإنجيرا,ai_suggested,identity
image_155A;image_155B,food_027.png,cuisine,كنافة,حلوى عمانية,قطعة مربعة بقشرة علوية برتقالية ذهبية من عجين شعري وطبقة جبن بيضاء جانبية ظاهرة، بينما الحلوى العمانية عجينة داكنة سوداء/بنية لامعة متجانسة القوام بلا أي خيوط شعرية أو طبقة جبن — اختلاف اللون والقوام كليًا ينفيها,ai_suggested,identity
image_156A;image_156B,food_028(1).png,objects,عاشوراء,إفطار رمضان,الحضور يرتدون ملابس سوداء بالكامل (زي حِداد) ويقفون حول قدور ضخمة يُحرَّك محتواها جماعيًا في الهواء الطلق، بلا أي مائدة إفطار أو زينة احتفالية — زي الحِداد الأسود ينفي سياق إفطار رمضان الاحتفالي,ai_suggested,identity
image_157A;image_157B,food_028.png,cuisine,كبة,سمبوسة,أقراص مستديرة مشوية بعلامات شواء متقاطعة وأخرى بيضاوية مقلية مدببة الطرفين — لا وجود لأي شكل مثلث أو هلالي مطوي يميّز السمبوسة في أي من القطع الظاهرة,ai_suggested,identity
image_158A;image_158B,food_029.jpg,cuisine,حلاوة الجبن,قطايف,صفوف من لفائف أسطوانية ناعمة السطح بأطراف مغطاة بالفستق الأخضر وقمة حمراء، بلا أي حافة مكرمشة أو طية هلالية — غياب الطية المميزة ينفي القطايف,ai_suggested,identity
image_159A;image_159B,food_029.png,cuisine,سردين,UNCERTAIN,لا يوجد في المعجم طبق/مكوّن آخر من نفس الفئة يشبه بصريًا كومة سمك سردين نيء فضي كامل بهذا الشكل (لا طبق مطهو مقارب)، ولا ادعاء ثقافي/تحضيري موثوق يمكنني تأكيد خطئه بثقة دون تخمين — تعذّر المستويان فتُرك غير محسوم,uncertain,uncertain
image_160A;image_160B,food_030(1).png,cuisine,شاورما,لحم مفروم مُشكَّل,الشاورما تُبنى من شرائح لحم متبلة مكدّسة طبقات فوق السيخ العمودي لا من لحم مفروم مطهون مُشكَّل ككتلة واحدة — الادعاء بأنها لحم مفروم خطأ في طريقة التحضير لا يمكن نفيه من مظهر السطح المشوي الخارجي وحده,ai_suggested,attribute
image_161A;image_161B,food_030.png,objects,قفة,تُستخدم تقليديًا لتخزين الملابس,القفة تُستخدم تقليديًا لحفظ ونقل التمر والحبوب والمواد الغذائية الجافة لا الملابس؛ الصورة تُظهر أكوامًا فارغة من القفف المكدّسة بلا أي محتوى ظاهر يكشف الاستخدام الفعلي — ادعاء استخدامها لتخزين الملابس خطأ تقليدي لا يُنفى من مجرد الشكل الفارغ,ai_suggested,attribute
image_162A;image_162B,food_031(1).png,objects,قِدر,برّاد ماء,وعاء أسطواني معدني بلا أي صنبور أو فوهة سفلية للصب، مثبَّت فوق موقد نار مرتجل — غياب الصنبور الذي يميّز برّاد الماء دائمًا ينفيه رغم تشابه الشكل الأسطواني العام,ai_suggested,identity
image_163A;image_163B,food_031.png,cuisine,شيش برك,يُطهى في صلصة طماطم,الصورة تُظهر عجينًا محشوًا مغمورًا في صلصة بيضاء كريمية (لبن) بوضوح، وهذا ينفي مباشرة ادعاء الطهي في صلصة طماطم حمراء — شيش برك يُطهى تقليديًا في صلصة لبن-ثوم لا طماطم,ai_suggested,attribute
image_164A;image_164B,food_032.jpg,cuisine,كشري,مجدرة,الصورة تُظهر معكرونة كوع صفراء وصلصة طماطم حمراء كمكوّنين منفصلين يُضافان صراحة إلى الخلطة — وجودهما الصريح ينفي المجدرة التي تخلو من المعكرونة والصلصة الحمراء تمامًا,ai_suggested,identity
image_165A;image_165B,food_032.png,cuisine,زيت زيتون,زيت مكرر مُعالَج صناعيًا,لون الزيت الأخضر الذهبي الغامق الظاهر في القارورة سمة الزيت البكر غير المكرر، بينما الزيت المكرر صناعيًا شاحب اللون صافٍ — الادعاء بأنه مكرر صناعيًا خطأ في طريقة المعالجة لا يُنفى من مجرد شكل القارورة الخارجي وحده,ai_suggested,attribute
image_166A;image_166B,food_033(1).png,cuisine,منسف,مندي,المنسف يتميّز ببناء الأرز فوق قاعدة من خبز التنّور المغموس بصلصة الجميد، كما تُظهر الصورة بوضوح رغيفًا كبيرًا تحت الأرز، بينما المندي يُقدَّم كومة أرز مباشرة بلا قاعدة خبز مغموسة — القاعدة الخبزية الظاهرة تنفي المندي,ai_suggested,identity
image_167A;image_167B,food_033.png,cuisine,زرب,شية,هيكل معدني من ثلاث طبقات رفوف تحمل دجاجًا متبلًا خامًا لم يُطهَ بعد، بينما الشية تُشوى مباشرة فوق الفحم في صينية ضحلة واحدة لا هيكل رفوف متعدد الطبقات — بنية الرفوف الثلاثية تنفي الشية,ai_suggested,identity
image_168A;image_168B,food_034(1).png,cuisine,كباب,شيش طاووق,أصابع لحم مفروم مصمتة متجانسة القوام بعلامات شواء طولية على الخبز، بلا أي تقطيع لقطع دجاج منفصلة مكعبة — الشيش طاووق يتكون من مكعبات دجاج منفصلة على السيخ، وتجانس اللحم هنا ينفيه,ai_suggested,identity
image_169A;image_169B,food_034.png,cuisine,يخنة,شكشوكة,خليط طماطم كثيف بقطع مرئية بلا أي بياض أو صفار بيضة مطهوة ظاهر فوق السطح — الشكشوكة تتميّز ببيض مطهو ظاهر دائمًا فوق صلصة الطماطم، وغيابه هنا ينفيها,ai_suggested,identity
image_170A;image_170B,food_035.jpg,cuisine,مكدوس,محشي,باذنجانات محفوظة بقشرتها الداكنة الظاهرة ومحشوة بخليط جوز وفلفل أحمر مفروم، بلا أي أرز أو صلصة طماطم دافئة — المحشي طبق مطهو بحشوة أرز في مرق طماطم، وغياب ذلك ينفيه,ai_suggested,identity
image_171A;image_171B,food_035.png,cuisine,فتة حمص,حمص,التغطية المركّبة (لوز محمّص، بصل مقلي مقرمش، وحفرة زيت زيتون مركزية مع بصل أخضر) تطابق تقديم الفتة المتعدد الطبقات المميز، لا التقديم البسيط للحمص العادي (حبوب حمص كاملة وزيت وبابريكا فقط كما في عينة سابقة) — التركيب المُعَد يميّزه عن الحمص السادة,ai_suggested,identity
image_172A;image_172B,food_036.jpg,cuisine,بسطيلة,مزيّنة بالسكر البودرة والقرفة,هذا التقديم مغطى بقشور لوز محمّص وبتلات ورد وبيض سمان، بلا أي أثر لنقشة سكر بودرة وقرفة — الادعاء بوجود التزيين التقليدي بالسكر والقرفة خطأ مؤكد بصريًا هنا رغم شهرته كعلامة تقليدية للبسطيلة,ai_suggested,attribute
image_173A;image_173B,food_036.png,cuisine,مجبوس,كبسة,طبق أرز ولحم غامق اللون في قدر كبير — نفس زوج المجبوس/الكبسة الكلاسيكي؛ التمييز بالتقليد الإقليمي المثبَّت لا بملمح بصري قاطع في هذه الصورة,ai_suggested,identity
image_174A;image_174B,food_037.jpg,cuisine,طاجين,كسكسي,الإناء مخروطي الشكل بغطاء طيني أرجواني مميز يحوي يخنة خضار متكتلة (بطاطا، جزر، فاصولياء) في صلصة، بلا أي حبيبات سميد دقيقة — شكل الطاجين المخروطي وقوام اليخنة الكتلي ينفيان الكسكسي,ai_suggested,identity
image_175A;image_175B,food_037.png,cuisine,منسف,مندي,قاعدة خبز كبيرة واضحة تحت الأرز مغموسة بصلصة جميد بيضاء مغطية اللحم بالكامل — سمتان مميزتان للمنسف تحديدًا، بينما المندي يُقدَّم كومة أرز مباشرة بلا قاعدة خبز ولا صلصة بيضاء مغطية,ai_suggested,identity
image_176A;image_176B,food_038(1).png,cuisine,أقاشي,كباب,قطع لحم منفصلة مكسوة بقشرة بهارات صفراء مقرمشة مثبتة على أسياخ خشبية متعددة منفصلة، لا كتلة لحم مفروم واحدة مشكَّلة — الكباب يُصنع من لحم مفروم مُشكَّل ككتلة، وتفرّق القطع هنا ينفيه,ai_suggested,identity
image_177A;image_177B,food_038.png,cuisine,شيش برك,يُطهى في صلصة طماطم,الصورة تُظهر العجين قبل الطهي (أقراص محشوة مطوية نيئة على صينية مرشوشة بالدقيق) بلا أي صلصة بعد — شيش برك يُطهى تقليديًا في صلصة لبن-ثوم لا طماطم، ولا يمكن نفي نوع الصلصة بصريًا من صورة ما قبل الطهي,ai_suggested,attribute
image_178A;image_178B,food_039(1).png,cuisine,كسرة,تُصنع من دقيق القمح الأبيض حصرًا,الكسرة السودانية تُصنع تقليديًا من دقيق الذرة الرفيعة (الدُخن/الذرة) المخمّر لا القمح الأبيض الخالص؛ رقائق الخبز الشاحبة في الصورة لا تكشف نوع الدقيق بصريًا — فخ معرفي بالمكوّن، وتفادينا هنا مقارنتها بالإنجيرا مباشرة لتشابههما البصري الشديد الموثَّق سابقًا في هذا المشروع (food_081(1).png),ai_suggested,attribute
image_179A;image_179B,food_039.png,cuisine,كنافة,حلوى عمانية,قطعة مستديرة بقشرة علوية برتقالية ذهبية من عجين شعري مقرمش، بينما الحلوى العمانية عجينة داكنة سوداء/بنية لامعة متجانسة القوام بلا أي خيوط عجين شعرية — اختلاف اللون والقوام الكامل ينفيها,ai_suggested,identity
image_180A;image_180B,food_040.jpg,cuisine,تبولة,فتوش,خضراوات مفرومة ناعمًا جدًا (بقدونس أساسًا) مع شرائح ليمون للتزيين، بلا أي قطع خبز محمّص مقرمشة أو مكعبات خضار كبيرة — عنصرا الفتوش المميزان غائبان تمامًا فينفيانه,ai_suggested,identity
image_181A;image_181B,food_040.png,objects,قِدر,برّاد ماء,قدور معدنية كبيرة ذات مقابض جانبية بلا أي صنبور سفلي للصب، يحرّكها رجال بملاعق طويلة — غياب الصنبور الذي يميّز برّاد الماء دائمًا ينفيه رغم تشابه الشكل الأسطواني الكبير,ai_suggested,identity
image_182A;image_182B,food_041.jpg,cuisine,حلاوة الجبن,قطايف,لفائف أسطوانية ناعمة السطح بأطراف مغطاة بالفستق الأخضر وقمة حمراء، بلا أي حافة مكرمشة أو طية هلالية تميّز القطايف — غياب الطية المميزة ينفيها,ai_suggested,identity
image_183A;image_183B,food_041.png,cuisine,كبدة,قطع لحم عضلي من الفخذ,الكبدة عضو داخلي بقوام ناعم متفتت ولون بني محمر داكن مميز يختلف عن قوام لحم الفخذ العضلي الليفي المتماسك — تحديد نوع القطعة (عضو داخلي مقابل لحم عضلي) معرفة تتجاوز مجرد اللون الداكن الظاهر في المقلاة,ai_suggested,attribute
image_184A;image_184B,food_042(1).png,cuisine,ورق عنب,كوسا محشي,الطبق يحوي لفائف ورق عنب وحبات فلفل رومي ملونة محشوة (أحمر وأصفر وأخضر) حول الحافة، بلا أي قرون كوسا خضراء مستطيلة الشكل — غياب الكوسا تحديدًا ينفي كوسا محشي رغم وجود فلفل محشو فعليًا,ai_suggested,identity
image_185A;image_185B,food_042.png,cuisine,حلوى عمانية,كنافة,عجينة داكنة برتقالية-بنية لامعة القوام مغطاة بلوز وفستق وخيوط زعفران، بلا أي خيوط عجين شعرية برتقالية مقرمشة أو طبقة جبن ظاهرة تميّز الكنافة — القوام الجيلاتيني اللامع ينفيها,ai_suggested,identity
