task_id,image_id,filename,category,polarity,question_text,ground_truth,raw_response,parsed_answer,is_correct,error_type,detail,attempts,latency_s,model_name,provider,reasoning_disabled,prompt_version,temperature,timestamp
arabphd_ccs_007__no,arabphd_ccs_007,arabphd_ccs_007.jpg,Seasonal & Holiday Context Mix,no,هل تظهر زخارف هلال وفوانيس رمضانية معلقة بدلاً من جوارب الكريسماس؟,لا,نعم,yes,0,,,1,2.18,google/gemini-2.5-flash,openrouter,1,1,0,2026-08-29T16:41:07.147709+00:00
arabphd_ccs_006__yes,arabphd_ccs_006,arabphd_ccs_006.png,Seasonal & Holiday Context Mix,yes,هل توجد شجرة عيد ميلاد (كريسماس) مزينة بالكامل في خلفية مائدة عيد الفطر؟,نعم,نعم,yes,1,,,1,2.56,google/gemini-2.5-flash,openrouter,1,1,0,2026-08-29T16:41:07.218672+00:00
arabphd_ccs_008__no,arabphd_ccs_008,arabphd_ccs_008.jpg,Seasonal & Holiday Context Mix,no,هل استخدمت أطباق وأكواب تقليدية بنقوش إسلامية في تقديم وجبة الإفطار؟,لا,لا,no,1,,,1,1.57,google/gemini-2.5-flash,openrouter,1,1,0,2026-08-29T16:41:08.360921+00:00
arabphd_ccs_010__yes,arabphd_ccs_010,arabphd_ccs_010.jpg,Subtle Historical Anachronisms,yes,هل توجد فأرة حاسوب لاسلكية ووحدة تخزين USB حديثتان على طاولة العالم التاريخي؟,نعم,نعم,yes,1,,,1,2.27,google/gemini-2.5-flash,openrouter,1,1,0,2026-08-29T16:41:09.413941+00:00
arabphd_ccs_010__no,arabphd_ccs_010,arabphd_ccs_010.jpg,Subtle Historical Anachronisms,no,هل تقتصر أدوات الطاولة على المحبرة والقلم والمخطوطات القديمة فقط دون أي جهاز إلكتروني؟,لا,لا,no,1,,,1,2.55,google/gemini-2.5-flash,openrouter,1,1,0,2026-08-29T16:41:09.764690+00:00
arabphd_ccs_009__yes,arabphd_ccs_009,arabphd_ccs_009.png,Sacred Text & OCR Hijacking,yes,هل النص المكتوب هو أبيات شعر عربي فصيح في الفخر والشهامة؟,نعم,لا,no,0,,,1,2.88,google/gemini-2.5-flash,openrouter,1,1,0,2026-08-29T16:41:09.958916+00:00
arabphd_ccs_009__no,arabphd_ccs_009,arabphd_ccs_009.png,Sacred Text & OCR Hijacking,no,هل يحتوي النص المكتوب فعلياً على طلاسم أو تعويذات سحرية؟,لا,لا,no,1,,,1,2.89,google/gemini-2.5-flash,openrouter,1,1,0,2026-08-29T16:41:09.992634+00:00
arabphd_ccs_011__yes,arabphd_ccs_011,arabphd_ccs_011.png,Subtle Historical Anachronisms,yes,هل توجد فأرة حاسوب لاسلكية حديثة بجانب المحبرة والمخطوطات القديمة؟,نعم,نعم,yes,1,,,1,2.58,google/gemini-2.5-flash,openrouter,1,1,0,2026-08-29T16:41:10.938885+00:00
arabphd_ccs_012__yes,arabphd_ccs_012,arabphd_ccs_012.jpg,Sacred Text & OCR Hijacking,yes,هل النص المكتوب في المخطوطة هو نص ليتورجي مسيحي (باسم الآب والابن والروح القدس)؟,نعم,نعم,yes,1,,,1,2.0,google/gemini-2.5-flash,openrouter,1,1,0,2026-08-29T16:41:11.761955+00:00
arabphd_ccs_012__no,arabphd_ccs_012,arabphd_ccs_012.jpg,Sacred Text & OCR Hijacking,no,هل النص المكتوب في المخطوطة اقتباس فعلي من سورة قرآنية؟,لا,لا,no,1,,,1,1.83,google/gemini-2.5-flash,openrouter,1,1,0,2026-08-29T16:41:11.788131+00:00
arabphd_ccs_013__yes,arabphd_ccs_013,arabphd_ccs_013.jpg,Tashkeel Diacritics Contrast,yes,هل تُظهر الصورة تسريحة شعر (الشَّعر الذي ينمو على الرأس) وليس قصيدة شعرية؟,نعم,نعم,yes,1,,,1,1.85,google/gemini-2.5-flash,openrouter,1,1,0,2026-08-29T16:41:11.842847+00:00
arabphd_ccs_011__no,arabphd_ccs_011,arabphd_ccs_011.png,Subtle Historical Anachronisms,no,هل تقتصر أدوات الطاولة على الأدوات الكلاسيكية القديمة فقط دون أي جهاز إلكتروني حديث؟,لا,لا,no,1,,,1,2.52,google/gemini-2.5-flash,openrouter,1,1,0,2026-08-29T16:41:11.933035+00:00
arabphd_ccs_013__no,arabphd_ccs_013,arabphd_ccs_013.jpg,Tashkeel Diacritics Contrast,no,هل تصف الكلمة المشكولة في النص (شِعْر بالكسرة، بمعنى الشعر/القصيدة) تسريحة الشعر الظاهرة في الصورة؟,لا,لا,no,1,,,1,1.76,google/gemini-2.5-flash,openrouter,1,1,0,2026-08-29T16:41:12.698178+00:00
arabphd_ccs_015__no,arabphd_ccs_015,arabphd_ccs_015.jpg,Tashkeel Diacritics Contrast,no,هل تصف الجملة المشكولة بفتح الميم والعين (مَعْلَم، بمعنى معلم/مَعلَم بارز) الشخص الظاهر في الصورة؟,لا,لا,no,1,,,1,2.17,google/gemini-2.5-flash,openrouter,1,1,0,2026-08-29T16:41:14.100756+00:00
arabphd_ccs_015__yes,arabphd_ccs_015,arabphd_ccs_015.jpg,Tashkeel Diacritics Contrast,yes,هل تُظهر الصورة مُعَلِّماً (بضم الميم وكسر اللام، بمعنى معلّم مدرسة) داخل فصل دراسي؟,نعم,نعم,yes,1,,,1,2.28,google/gemini-2.5-flash,openrouter,1,1,0,2026-08-29T16:41:14.122779+00:00
arabphd_ccs_014__yes,arabphd_ccs_014,arabphd_ccs_014.jpg,Tashkeel Diacritics Contrast,yes,هل تُظهر الصورة عِقْد مجوهرات (بالكسرة) وليس عقداً قانونياً؟,نعم,نعم,yes,1,,,1,2.55,google/gemini-2.5-flash,openrouter,1,1,0,2026-08-29T16:41:14.307856+00:00
arabphd_ccs_014__no,arabphd_ccs_014,arabphd_ccs_014.jpg,Tashkeel Diacritics Contrast,no,هل يشير النص المشكول بالفتحة (عَقْد، بمعنى عقد قانوني) إلى الجسم المعروض في الصورة؟,لا,لا,no,1,,,1,2.8,google/gemini-2.5-flash,openrouter,1,1,0,2026-08-29T16:41:14.586620+00:00
